Size,Time(ms)
50000,4143.63
100000,16952
150000,37534.5
200000,69019.9
250000,104606
300000,151518
350000,203874
400000,269531
450000,342133
500000,414057
550000,504205
600000,606006
650000,713568
700000,820818
750000,948301
800000,1.05255e+006
850000,1.16904e+006
900000,1.31146e+006
950000,1.46222e+006
1000000,1.62097e+006
